canonical_name,brand,format,iso,exposures,color_type,aliases
Kodak Portra 400,Kodak,35mm,400,36,color,"portra400,kodak portra,portra"
Fuji Superia 400,Fujifilm,35mm,400,36,color,"superia 400,fuji superia,fujicolor superia"
Fuji C200,Fujifilm,35mm,200,36,color,"c200,fuji c200,fujicolor c200"
Kodak Ultramax 400,Kodak,35mm,400,36,color,"ultramax,kodak ultramax,ultra max 400"
Kodak Gold 200,Kodak,35mm,200,36,color,"gold 200,kodak gold,gold200"
Kodak ColorPlus 200,Kodak,35mm,200,36,color,"colorplus,color plus,kodak colorplus"
Cinestill 800T,Cinestill,35mm,800,36,color,"800t,cine still,cinestill"
Ilford HP5+ 400,Ilford,35mm,400,36,bw,"hp5,hp5 plus,ilford hp5"
Ilford FP4+ 125,Ilford,35mm,125,36,bw,"fp4,fp4 plus,ilford fp4"
Ilford Kentmere 400,Ilford,35mm,400,36,bw,"kentmere 400,kentmere,ilford kentmere"
Kodak TRI-X 400,Kodak,35mm,400,36,bw,"tri-x,trix 400,kodak trix"
Kodak TMAX 400,Kodak,35mm,400,36,bw,"tmax 400,t-max,kodak tmax"
Fomapan 400,Foma,35mm,400,36,bw,"fomapan,foma 400,fomapan 400 action"
